;means;sd;sr
453;0.956340251;3.400336134;0.281248739
454;1.211687001;3.990882162;0.303613826
455;1.413749478;4.494482755;0.314552209
456;0.878492313;3.289189876;0.267084707
457;2.868484575;10.46404356;0.274127737
458;1.062612989;3.145972211;0.33776935
459;1.802157952;5.830722898;0.309079677
460;0.993830435;3.43966687;0.288932176
461;0.986875777;2.945937623;0.334995476
462;2.014382185;6.759876677;0.297990967
463;0.768774909;2.916508595;0.263594255
464;1.187161539;4.12824526;0.287570497
465;1.434569786;4.642464134;0.309010419
466;1.055508495;3.450861941;0.305868074
467;1.775472657;5.658867237;0.313750541
468;1.083304488;3.100596872;0.34938579
469;1.421684606;4.570751028;0.311039608
470;0.941388548;3.877467594;0.242784375
471;1.019600829;3.11733405;0.327074613
472;1.013322792;3.136528289;0.323071466
473;0.941834739;3.324785;0.283276885
474;2.582925932;8.849517006;0.291871967
475;1.119520273;3.394774236;0.329777533
476;1.10601277;3.184789747;0.347279682
477;1.150154848;3.691241684;0.311590231
478;1.090260766;3.205026047;0.340172201
479;0.901230635;3.151565859;0.285962812
480;1.275312152;4.238042449;0.300920099
481;0.770388219;2.869682451;0.268457654
482;1.207968704;4.328622911;0.279065358
483;0.975022078;3.296387798;0.295785004
484;0.834566823;2.712232935;0.307704701
485;1.218250633;3.936219936;0.309497603
486;0.994183171;3.226838748;0.308098188
487;1.063638402;3.213470259;0.330993697
488;0.960438372;3.582560897;0.268087103
489;1.295665103;4.283736801;0.302461417
490;1.292000733;3.855729908;0.335085902
491;1.12387936;3.424833545;0.328155908
492;0.826743732;3.103494866;0.266391203
493;1.116619833;3.335556624;0.334762668
494;1.025690799;3.173833774;0.323170926
495;1.012281681;3.141400758;0.32223895
496;2.61398633;9.707263975;0.269281472
497;1.16737427;4.267575187;0.273545097
498;1.871585844;6.011952729;0.311310805
499;1.372680509;4.247029542;0.32320955
500;1.176998211;3.523417603;0.334050159
501;1.023382318;3.319837876;0.308262739
502;1.781593148;5.739409132;0.310414035
503;1.206866112;3.739656693;0.322721098
504;1.031580232;3.767045477;0.273843318
505;1.298191666;4.620222673;0.280980324
506;0.999888242;3.74428663;0.267043723
507;0.977223229;3.270993937;0.298754216
508;1.208381776;4.349114653;0.277845463
509;2.764355084;9.484745587;0.291452739
510;0.745755354;2.841399215;0.262460604
511;1.171498156;3.917195047;0.299065567
512;1.000716578;4.094710281;0.244392523
513;1.057738366;3.821206274;0.27680745
514;1.171222524;3.543817202;0.330497443
515;0.995802489;3.792567352;0.262566857
516;1.485769947;4.723166793;0.314570713
517;1.227348507;4.057230135;0.302508969
518;1.687452338;5.636458435;0.29938167
519;0.985086599;4.035910524;0.244080386
520;0.900100696;4.89841761;0.18375336
521;0.943245199;3.344532321;0.282026038
522;0.978373104;3.056064521;0.320141508
523;0.589079376;2.194831217;0.26839393
524;1.224025538;3.969016741;0.308395156
525;1.03101469;3.405868626;0.302717105
526;1.440797192;4.189784896;0.343883332
527;0.881098654;3.310942325;0.266117186
528;1.418667302;4.775052189;0.297099853
529;1.418419266;4.526779472;0.313339599
530;1.058901259;3.301436706;0.320739531
531;2.11115513;7.140173867;0.29567279
532;1.49804633;4.325900846;0.346296964
533;1.036129;3.300418499;0.313938672
534;1.196660009;3.599267769;0.332473182
535;1.018561224;3.692994512;0.275809027
536;1.463578184;4.719501449;0.310112879
537;1.325518917;4.339286822;0.305469302
538;1.501115974;4.971856818;0.301922607
539;0.886703366;2.598079555;0.341291846
540;1.569662661;5.284393034;0.297037456
541;1.028667334;3.243367916;0.317160236
542;1.023888102;3.162841905;0.323724085
543;0.955636043;2.955520914;0.323339293
544;1.815196344;6.154642222;0.294931253
545;0.984586602;3.216094847;0.306143521
546;1.064759218;3.365191726;0.316403731
547;0.942532654;4.797231513;0.19647429
548;1.285813077;4.115426182;0.312437405
549;1.215986307;3.863149767;0.31476551
550;0.898182483;3.02073406;0.297339145
551;0.976487508;3.822649913;0.255447799
552;0.964233536;3.288142285;0.293245685
553;1.766883682;5.696809597;0.310153192
554;0.657006878;2.521351145;0.260577302
555;0.977207169;3.44549313;0.283618957
556;1.050886197;3.38148452;0.310776581
557;0.949890198;3.315705094;0.286482112
558;1.019066893;3.371514189;0.302257928
559;1.365275666;5.312447843;0.25699559
560;0.71353029;2.618341131;0.272512348
561;1.037842104;3.829845589;0.270987976
562;0.973478361;3.392072689;0.286986291
563;0.958149335;3.379366547;0.283529272
564;1.215245746;3.808909714;0.31905344
565;1.032112565;3.409068337;0.302755024
566;1.345161241;4.406770398;0.305248769
567;2.256415617;8.110676703;0.278203127
568;0.84722922;2.914655498;0.290679026
569;1.239996119;4.457753828;0.278166127
570;1.24666064;4.886262144;0.255135849
571;0.912690807;2.978795631;0.306395913
572;1.07747646;3.662723511;0.294173573
573;1.035957176;3.131360631;0.330832918
574;1.356388333;4.162096955;0.325890614
575;1.533176002;5.206705093;0.294461848
576;0.946827303;3.0036582;0.315224716
577;0.940543499;2.821176681;0.333386953
578;1.839866361;6.001835399;0.30655062
579;1.248266766;4.112826786;0.303505796
580;1.096780343;3.644694978;0.300925139
581;1.129759695;3.836737456;0.294458432
582;0.736047469;3.432718241;0.214421172
583;1.236871802;3.810845885;0.324566209
584;1.18946996;4.19118081;0.283803065
585;1.280821323;3.784099617;0.338474526
586;1.767818264;6.027001507;0.29331638
587;0.742976702;3.732224404;0.199070747
588;1.009860574;3.111932427;0.324512372
589;1.228953594;3.971499752;0.3094432
590;1.159548292;3.523082809;0.329128878
591;1.323194653;4.187826619;0.315962138
592;1.46259443;4.995968078;0.292754959
593;2.772690395;9.79904126;0.282955273
594;1.296222471;4.151779836;0.312208865
595;1.059959944;3.265843918;0.324559278
596;0.926636734;2.81003312;0.329760076
597;1.318615748;4.641952728;0.284064881
598;1.165370332;3.458352467;0.336972689
599;1.593500645;4.924545726;0.323583277
600;0.9477627;3.48867506;0.271668379
601;1.42442562;4.60464837;0.309345145
602;1.535113794;5.076121668;0.302418637
603;1.173886873;3.799304982;0.308974109
604;1.132851611;3.297193172;0.343580601
605;1.243339627;4.224962276;0.294284196
606;1.167217198;3.558790312;0.327981448
607;0.950393804;3.187963258;0.298119435
608;1.135220775;3.721613316;0.305034585
609;0.967951441;3.272457461;0.295787326
610;1.416639016;4.294713191;0.329856489
611;1.490826313;5.12346715;0.290979969
612;0.931013154;3.227121976;0.288496425
613;1.203705364;3.977444577;0.302632844
614;1.078415577;4.389965943;0.245654657
615;1.06281547;4.234053415;0.251016075
616;1.464825405;4.529784982;0.323376366
617;1.527323997;5.186892861;0.294458366
618;1.336141316;4.272914997;0.312700186
619;1.018263459;3.507894643;0.290277663
620;1.421520766;4.675358357;0.304045307
621;1.501225482;4.981710931;0.301347369
622;0.928385472;3.44213837;0.26971184
623;1.275320848;4.239634323;0.300809162
624;0.977464964;3.306329996;0.295634424
625;1.695111683;5.607256787;0.302306769
626;0.961522719;3.337089419;0.288132141
627;1.133017012;3.870288096;0.292747461
628;0.955416603;3.087154268;0.309481328
629;1.065131713;3.334530201;0.319424821
630;0.916283381;2.883616878;0.317754896
631;1.26873855;3.88229726;0.32680098
632;1.017968879;3.882011106;0.262227194
633;1.25918669;4.302107103;0.292690689
634;0.990452195;3.082614897;0.321302605
